City,Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index
Auckland,January,2014,85,Low,45,61,7.2,63,94
Auckland,February,2014,50,Medium,14,33,7.18,79,92
Auckland,March,2014,83,Low,35,121,6.94,119,86
Auckland,April,2014,59,Medium,45,133,8.48,70,87
Auckland,May,2014,66,Medium,37,127,6.47,61,84
Auckland,June,2014,51,Medium,54,107,7.78,55,89
Auckland,July,2014,79,Low,58,40,9.31,130,99
Auckland,August,2014,68,Medium,18,35,8.46,87,65
Auckland,September,2014,59,Very High,58,65,9.11,96,70
Auckland,October,2014,68,Medium,44,119,8.65,59,98
Auckland,November,2014,85,Low,41,50,7.98,84,100
Auckland,December,2014,80,Low,51,137,7.7,57,74
Auckland,January,2015,47,High,61,64,8.45,122,80
Auckland,February,2015,58,High,60,143,9.04,108,69
Auckland,March,2015,61,Low,81,98,8.74,124,87
Auckland,April,2015,82,Medium,38,47,8.15,61,63
Auckland,May,2015,52,Low,30,131,7.56,126,64
Auckland,June,2015,69,Medium,69,97,8.0,120,60
Auckland,July,2015,52,High,78,126,8.34,93,67
Auckland,August,2015,63,Medium,68,30,10.0,83,92
Auckland,September,2015,56,Medium,23,141,6.8,114,98
Auckland,October,2015,57,Low,30,99,8.87,117,60
Auckland,November,2015,83,Medium,12,44,8.4,89,75
Auckland,December,2015,48,Low,82,40,9.8,112,64
Auckland,January,2016,79,High,26,114,6.32,120,70
Auckland,February,2016,61,Medium,64,57,10.0,75,79
Auckland,March,2016,70,Very High,57,86,9.66,107,67
Auckland,April,2016,60,Low,53,32,9.94,79,97
Auckland,May,2016,59,Low,17,59,6.43,54,81
Auckland,June,2016,49,Medium,45,115,7.99,119,68
Auckland,July,2016,81,Medium,41,130,6.53,102,72
Auckland,August,2016,51,Low,65,75,9.34,109,63
Auckland,September,2016,51,Low,53,132,9.04,81,72
Auckland,October,2016,57,Medium,27,84,6.74,109,75
Auckland,November,2016,49,Medium,80,42,9.54,119,60
Auckland,December,2016,50,Very High,40,51,8.8,111,73
Auckland,January,2017,70,Very High,31,78,6.09,99,76
Auckland,February,2017,74,Medium,81,114,9.4,69,72
Auckland,March,2017,63,Low,17,104,7.42,57,80
Auckland,April,2017,48,Low,71,94,10.0,117,70
Auckland,May,2017,48,Very High,20,138,5.66,126,64
Auckland,June,2017,60,Medium,82,61,10.0,55,99
Auckland,July,2017,50,Medium,84,102,9.89,83,73
Auckland,August,2017,65,Low,60,46,10.0,88,89
Auckland,September,2017,65,Very High,19,31,8.06,122,66
Auckland,October,2017,49,Medium,74,63,9.13,94,64
Auckland,November,2017,60,Medium,30,86,8.68,88,99
Auckland,December,2017,78,Low,80,68,10.0,63,68
Auckland,January,2018,61,Low,23,125,6.75,84,78
Auckland,February,2018,83,Low,53,56,9.07,83,92
Auckland,March,2018,76,Medium,16,41,7.94,85,62
Auckland,April,2018,45,Medium,26,111,8.91,70,88
Auckland,May,2018,80,High,81,31,9.06,69,94
Auckland,June,2018,47,High,84,100,8.89,66,62
Auckland,July,2018,64,Medium,15,145,5.35,81,66
Auckland,August,2018,67,High,62,109,9.04,80,70
Auckland,September,2018,56,Very High,13,52,8.51,92,86
Auckland,October,2018,60,Medium,23,78,8.68,110,74
Auckland,November,2018,57,High,68,74,8.95,79,74
Auckland,December,2018,46,High,61,72,8.96,58,77
Auckland,January,2019,67,High,61,116,9.55,118,81
Auckland,February,2019,46,Low,43,52,9.54,83,62
Auckland,March,2019,51,Medium,54,123,9.03,105,98
Auckland,April,2019,77,Low,83,54,9.19,105,60
Auckland,May,2019,78,Very High,78,117,9.1,75,83
Auckland,June,2019,72,Low,52,109,7.18,65,79
Auckland,July,2019,77,Medium,62,71,8.46,87,95
Auckland,August,2019,53,Low,58,116,9.15,72,99
Auckland,September,2019,81,Medium,80,136,6.55,86,73
Auckland,October,2019,72,High,51,89,7.93,77,92
Auckland,November,2019,75,High,31,114,5.46,115,100
Auckland,December,2019,84,Medium,40,116,6.19,75,69
Auckland,January,2020,46,Low,70,108,10.0,59,89
Auckland,February,2020,71,Very High,83,54,10.0,99,91
Auckland,March,2020,70,Low,10,144,6.17,63,87
Auckland,April,2020,59,Low,76,89,8.14,81,67
Auckland,May,2020,74,Low,69,115,8.33,121,98
Auckland,June,2020,65,Very High,66,108,9.48,114,87
Auckland,July,2020,80,Medium,30,125,7.38,107,76
Auckland,August,2020,60,High,45,128,8.27,112,100
Auckland,September,2020,60,Medium,19,121,5.9,84,81
Auckland,October,2020,65,Very High,20,47,6.86,99,69
Auckland,November,2020,58,Low,62,72,9.43,103,63
Auckland,December,2020,58,High,59,145,8.53,52,96
Auckland,January,2021,69,Medium,55,68,9.53,103,94
Auckland,February,2021,79,High,38,92,6.47,105,91
Auckland,March,2021,46,Medium,61,122,7.62,109,68
Auckland,April,2021,84,Medium,60,105,7.97,53,65
Auckland,May,2021,72,Low,69,53,8.19,98,80
Auckland,June,2021,58,Medium,53,127,8.98,85,86
Auckland,July,2021,61,High,70,32,10.0,56,82
Auckland,August,2021,59,High,15,126,4.9,81,72
Auckland,September,2021,46,High,40,46,9.22,64,96
Auckland,October,2021,58,Medium,42,128,6.99,127,98
Auckland,November,2021,52,High,30,69,7.08,53,79
Auckland,December,2021,81,High,58,80,9.61,75,64
Auckland,January,2022,82,High,41,43,8.91,88,98
