city,month,year,decibel_level,traffic_density,green_space_area,air_quality_index,happiness_score,cost_of_living_index,healthcare_index,date,period
Auckland,January,2014,50,Medium,79.0,84.0,10.0,114,95.0,2014-01-01,2014-01
Sydney,January,2014,71,Low,52.0,146.0,7.2,108,85.0,2014-01-01,2014-01
Lisbon,January,2014,54,Low,71.0,112.0,10.0,60,70.0,2014-01-01,2014-01
Vienna,January,2014,50,Very High,29.0,103.0,8.36,72,74.0,2014-01-01,2014-01
London,January,2014,70,Low,32.0,135.0,7.63,68,99.0,2014-01-01,2014-01
Warsaw,January,2014,80,Medium,77.0,57.0,10.0,114,87.0,2014-01-01,2014-01
Dublin,January,2014,83,Medium,53.0,90.0,8.33,67,89.0,2014-01-01,2014-01
Zurich,January,2014,70,Medium,44.0,105.0,7.69,90,77.0,2014-01-01,2014-01
Melbourne,January,2014,52,High,80.0,39.0,10.0,50,64.0,2014-01-01,2014-01
San Francisco,January,2014,45,Low,74.0,109.0,9.76,55,96.0,2014-01-01,2014-01
Rome,January,2014,46,Medium,80.0,64.0,10.0,85,80.0,2014-01-01,2014-01
Barcelona,January,2014,65,Low,46.0,118.0,7.75,121,77.0,2014-01-01,2014-01
Toronto,January,2014,70,High,23.0,137.0,6.32,99,96.0,2014-01-01,2014-01
Montreal,January,2014,47,Very High,10.0,120.0,6.31,65,83.0,2014-01-01,2014-01
Helsinki,January,2014,69,High,29.0,48.0,9.51,111,67.0,2014-01-01,2014-01
Prague,January,2014,82,Medium,13.0,59.0,7.54,68,99.0,2014-01-01,2014-01
New York,January,2014,76,Very High,81.0,53.0,9.17,130,76.0,2014-01-01,2014-01
Stockholm,January,2014,59,Medium,70.0,37.0,10.0,120,88.0,2014-01-01,2014-01
Prague,January,2014,70,Medium,24.0,73.0,8.44,91,80.0,2014-01-01,2014-01
Paris,January,2014,79,High,15.0,77.0,6.79,85,61.0,2014-01-01,2014-01
Berlin,January,2014,101,High,56.0,44.0,6.97,87,83.0,2014-01-01,2014-01
Copenhagen,January,2014,77,Medium,83.0,123.0,8.75,119,62.0,2014-01-01,2014-01
Oslo,January,2014,74,Medium,40.0,93.0,8.24,124,96.0,2014-01-01,2014-01
Auckland,February,2014,58,Medium,30.0,73.0,9.04,93,84.0,2014-02-01,2014-02
Lisbon,February,2014,61,Medium,82.0,37.0,10.0,93,62.0,2014-02-01,2014-02
